n, cpu_time
1, 2e-06
2, 0
3, 1e-06
4, 2e-06
5, 1e-06
6, 2e-06
7, 0
8, 1e-06
9, 0
10, 1e-06
11, 2e-06
12, 0
13, 1e-06
14, 1e-06
15, 1e-06
16, 2e-06
17, 1e-06
18, 1e-06
19, 2e-06
20, 2e-06
21, 2e-06
22, 1e-06
23, 1e-06
24, 2e-06
25, 1e-06
26, 2e-06
27, 2e-06
28, 2e-06
29, 3e-06
30, 2e-06
31, 2e-06
32, 3e-06
33, 2e-06
34, 3e-06
35, 2e-06
36, 4e-06
37, 3e-06
38, 4e-06
39, 2e-06
40, 3e-06
41, 4e-06
42, 3e-06
43, 4e-06
44, 4e-06
45, 4e-06
46, 3e-06
47, 5e-06
48, 4e-06
49, 5e-06
50, 5e-06
51, 5e-06
52, 5e-06
53, 5e-06
54, 4e-06
55, 6e-06
56, 5e-06
57, 7e-06
58, 6e-06
59, 6e-06
60, 6e-06
61, 7e-06
62, 6e-06
63, 8e-06
64, 8e-06
65, 8e-06
66, 7e-06
67, 8e-06
68, 8e-06
69, 7e-06
70, 9e-06
71, 8e-06
72, 9e-06
73, 9e-06
74, 8e-06
75, 9e-06
76, 9e-06
77, 8e-06
78, 1e-05
79, 1e-05
80, 9e-06
81, 1e-05
82, 1.1e-05
83, 1e-05
84, 1e-05
85, 1.2e-05
86, 1.2e-05
87, 1.1e-05
88, 1.1e-05
89, 1.2e-05
90, 1.3e-05
91, 1.2e-05
92, 1.2e-05
93, 1.4e-05
94, 1.3e-05
95, 1.3e-05
96, 1.3e-05
97, 1.4e-05
98, 1.5e-05
99, 1.6e-05
100, 1.5e-05
101, 1.5e-05
102, 1.5e-05
103, 1.5e-05
104, 1.7e-05
105, 1.7e-05
106, 1.6e-05
107, 1.6e-05
108, 1.8e-05
109, 1.8e-05
110, 1.7e-05
111, 1.8e-05
112, 1.8e-05
113, 3.5e-05
114, 1.9e-05
115, 2e-05
116, 1.9e-05
117, 3.5e-05
118, 2.7e-05
119, 3.6e-05
120, 3.9e-05
121, 3.6e-05
122, 2.8e-05
123, 2.5e-05
124, 2.9e-05
125, 2.2e-05
126, 2.1e-05
127, 2.2e-05
128, 2.1e-05
129, 2.1e-05
130, 2.3e-05
131, 2.5e-05
132, 2.4e-05
133, 2.4e-05
134, 2.3e-05
135, 2.4e-05
136, 2.8e-05
137, 2.5e-05
138, 2.8e-05
139, 2.8e-05
140, 4e-05
141, 3.2e-05
142, 2.9e-05
143, 2.8e-05
144, 2.7e-05
145, 2.7e-05
146, 2.8e-05
147, 2.9e-05
148, 2.8e-05
149, 2.8e-05
150, 3e-05
151, 3e-05
152, 3.4e-05
153, 3.1e-05
154, 3.1e-05
155, 3.1e-05
156, 3.1e-05
157, 3.1e-05
158, 3.4e-05
159, 3.5e-05
160, 6e-05
161, 4e-05
162, 4.4e-05
163, 4.4e-05
164, 3.3e-05
165, 3.3e-05
166, 3.5e-05
167, 3.5e-05
168, 3.5e-05
169, 3.5e-05
170, 5.9e-05
171, 4.6e-05
172, 4.7e-05
173, 5e-05
174, 4.8e-05
175, 3.7e-05
176, 3.7e-05
177, 5e-05
178, 3.9e-05
179, 5.1e-05
180, 6.3e-05
181, 5.1e-05
182, 6.3e-05
183, 3.9e-05
184, 4.3e-05
185, 5.2e-05
186, 7.1e-05
187, 4.3e-05
188, 5.3e-05
189, 5.2e-05
190, 6e-05
191, 6.7e-05
192, 5.2e-05
193, 5.4e-05
194, 6.4e-05
195, 5.5e-05
196, 6.5e-05
197, 5.5e-05
198, 5.7e-05
199, 5.7e-05
200, 6.8e-05
201, 6.8e-05
202, 6.7e-05
203, 7e-05
204, 6.8e-05
205, 7e-05
206, 6.9e-05
207, 7.1e-05
208, 7.1e-05
209, 6.1e-05
210, 7.2e-05
211, 7.1e-05
212, 5.3e-05
213, 7.3e-05
214, 8.5e-05
215, 6.5e-05
216, 6.5e-05
217, 6.6e-05
218, 5.6e-05
219, 5.6e-05
220, 5.7e-05
221, 5.8e-05
222, 5.8e-05
223, 5.8e-05
224, 5.9e-05
225, 5.9e-05
226, 6e-05
227, 6.1e-05
228, 6.1e-05
229, 6.1e-05
230, 6.2e-05
231, 6.3e-05
232, 6.3e-05
233, 6.5e-05
234, 6.4e-05
235, 6.4e-05
236, 6.6e-05
237, 8.7e-05
238, 7.1e-05
239, 7.5e-05
240, 7.2e-05
241, 7.3e-05
242, 7.4e-05
243, 7.3e-05
244, 7.4e-05
245, 8e-05
246, 7.8e-05
247, 8.4e-05
248, 7.9e-05
249, 8.2e-05
250, 0.000108
251, 0.000103
252, 9.1e-05
253, 9.1e-05
254, 9.4e-05
255, 9.2e-05
256, 9.4e-05
257, 9.7e-05
258, 8.8e-05
259, 7.8e-05
260, 7.8e-05
261, 8.7e-05
262, 8.8e-05
263, 8.9e-05
264, 9e-05
265, 9.2e-05
266, 9.1e-05
267, 8.9e-05
268, 0.000112
269, 0.000113
270, 0.000102
271, 0.000104
272, 0.000103
273, 0.000104
274, 9.5e-05
275, 8.7e-05
276, 8.8e-05
277, 9e-05
278, 9.1e-05
279, 9e-05
280, 9.2e-05
281, 9.1e-05
282, 9.2e-05
283, 9.3e-05
284, 9.3e-05
285, 9.7e-05
286, 9.5e-05
287, 9.6e-05
288, 0.000109
289, 0.000114
290, 0.000104
291, 0.000104
292, 0.000106
293, 0.000105
294, 0.000106
295, 0.000107
296, 0.000108
297, 0.000131
298, 0.000111
299, 0.000112
300, 0.000112
301, 0.000124
302, 0.000112
303, 0.000112
304, 0.000113
305, 0.000114
306, 0.000116
307, 0.000117
308, 0.000118
309, 0.000118
310, 0.000119
311, 0.000119
312, 0.00012
313, 0.000121
314, 0.000121
315, 0.000121
316, 0.000115
317, 0.000116
318, 0.000117
319, 0.000117
320, 0.000117
321, 0.00012
322, 0.000119
323, 0.000121
324, 0.000121
325, 0.000121
326, 0.000123
327, 0.000124
328, 0.000123
329, 0.000124
330, 0.000126
331, 0.000126
332, 0.000127
333, 0.000128
334, 0.000128
335, 0.000132
336, 0.00013
337, 0.000131
338, 0.000131
339, 0.000132
340, 0.000132
341, 0.000134
342, 0.000155
343, 0.000149
344, 0.000144
345, 0.000146
346, 0.000147
347, 0.000148
348, 0.000151
349, 0.000152
350, 0.000158
351, 0.000143
352, 0.000143
353, 0.000153
354, 0.000158
355, 0.000174
356, 0.000177
357, 0.000183
358, 0.000183
359, 0.000184
360, 0.000185
361, 0.000184
362, 0.000186
363, 0.000196
364, 0.000213
365, 0.000195
366, 0.000195
367, 0.000195
368, 0.000218
369, 0.000224
370, 0.000194
371, 0.000174
372, 0.000193
373, 0.000181
374, 0.00017
375, 0.000172
376, 0.000172
377, 0.000194
378, 0.000175
379, 0.000175
380, 0.000175
381, 0.000177
382, 0.000167
383, 0.000167
384, 0.000175
385, 0.000184
386, 0.000185
387, 0.000187
388, 0.000187
389, 0.000188
390, 0.000188
391, 0.00019
392, 0.000192
393, 0.000191
394, 0.000197
395, 0.000192
396, 0.000218
397, 0.00018
398, 0.000233
399, 0.000201
400, 0.000204
401, 0.000226
402, 0.000217
403, 0.000205
404, 0.000198
405, 0.000199
406, 0.00021
407, 0.000202
408, 0.000202
409, 0.000203
410, 0.000205
411, 0.000216
412, 0.000243
413, 0.000216
414, 0.000215
415, 0.000217
416, 0.000217
417, 0.000218
418, 0.000218
419, 0.000225
420, 0.000225
421, 0.000226
422, 0.000227
423, 0.000229
424, 0.000233
425, 0.00022
426, 0.000221
427, 0.000231
428, 0.000239
429, 0.000209
430, 0.00021
431, 0.000211
432, 0.000211
433, 0.000213
434, 0.000215
435, 0.000216
436, 0.000216
437, 0.000219
438, 0.000219
439, 0.000237
440, 0.000248
441, 0.000238
442, 0.000241
443, 0.000243
444, 0.000307
445, 0.000314
446, 0.000287
447, 0.000271
448, 0.00023
449, 0.000228
450, 0.00023
451, 0.00023
452, 0.000233
453, 0.000233
454, 0.000234
455, 0.000236
456, 0.000236
457, 0.000239
458, 0.000237
459, 0.000238
460, 0.000241
461, 0.000241
462, 0.000242
463, 0.000244
464, 0.000244
465, 0.000267
466, 0.000263
467, 0.000284
468, 0.000266
469, 0.000266
470, 0.000276
471, 0.00027
472, 0.00027
473, 0.000269
474, 0.000271
475, 0.000269
476, 0.0003
477, 0.000274
478, 0.00036
479, 0.00028
480, 0.000286
481, 0.000284
482, 0.000342
483, 0.000269
484, 0.000265
485, 0.000267
486, 0.000286
487, 0.000309
488, 0.000297
489, 0.000298
490, 0.000341
491, 0.000314
492, 0.000305
493, 0.000294
494, 0.000295
495, 0.000299
496, 0.000289
497, 0.00029
498, 0.000329
499, 0.000302
500, 0.000328
501, 0.000347
502, 0.000334
503, 0.000317
504, 0.000286
505, 0.000289
506, 0.000289
507, 0.000291
508, 0.000291
509, 0.000313
510, 0.000315
511, 0.000318
512, 0.000318
513, 0.000316
514, 0.000301
515, 0.000318
516, 0.000359
517, 0.000323
518, 0.000333
519, 0.000333
520, 0.000325
521, 0.000331
522, 0.000336
523, 0.000375
524, 0.000387
525, 0.000343
526, 0.000333
527, 0.000334
528, 0.000367
529, 0.000338
530, 0.000341
531, 0.000339
532, 0.000342
533, 0.000347
534, 0.000347
535, 0.000333
536, 0.000335
537, 0.000336
538, 0.000337
539, 0.000339
540, 0.000339
541, 0.000341
542, 0.000342
543, 0.000344
544, 0.000344
545, 0.000345
546, 0.000379
547, 0.000373
548, 0.000366
549, 0.000392
550, 0.000399
551, 0.000385
552, 0.000348
553, 0.000369
554, 0.00037
555, 0.000369
556, 0.000359
557, 0.000359
558, 0.00036
559, 0.000362
560, 0.000363
561, 0.000393
562, 0.000398
563, 0.000382
564, 0.000383
565, 0.000385
566, 0.000385
567, 0.000396
568, 0.00039
569, 0.000392
570, 0.000386
571, 0.000394
572, 0.000385
573, 0.000385
574, 0.000385
575, 0.000392
576, 0.000399
577, 0.000383
578, 0.000412
579, 0.000406
580, 0.000406
581, 0.000407
582, 0.000411
583, 0.000408
584, 0.000428
585, 0.000414
586, 0.000504
587, 0.00044
588, 0.000445
589, 0.000494
590, 0.000508
591, 0.000502
592, 0.00041
593, 0.00041
594, 0.000412
595, 0.000438
596, 0.000413
597, 0.000416
598, 0.000418
599, 0.000484
600, 0.000465
601, 0.000436
602, 0.000436
603, 0.000437
604, 0.00045
605, 0.00045
606, 0.000442
607, 0.000446
608, 0.000468
609, 0.000421
610, 0.000426
611, 0.000458
612, 0.000565
613, 0.000554
614, 0.000519
615, 0.0005
616, 0.000479
617, 0.00049
618, 0.000503
619, 0.000554
620, 0.000465
621, 0.000484
622, 0.000494
623, 0.000601
624, 0.000469
625, 0.00054
626, 0.000551
627, 0.000555
628, 0.000555
629, 0.000559
630, 0.000594
631, 0.00057
632, 0.000566
633, 0.000569
634, 0.00056
635, 0.000555
636, 0.000548
637, 0.000569
638, 0.000568
639, 0.000585
640, 0.000556
641, 0.000608
642, 0.000513
643, 0.000475
644, 0.00049
645, 0.000552
646, 0.000528
647, 0.000537
648, 0.000614
649, 0.000569
650, 0.000583
651, 0.000619
652, 0.00052
653, 0.000525
654, 0.000494
655, 0.000483
656, 0.000507
657, 0.000529
658, 0.000522
659, 0.000526
660, 0.000573
661, 0.000606
662, 0.000578
663, 0.000531
664, 0.000507
665, 0.000534
666, 0.000515
667, 0.000555
668, 0.000559
669, 0.000534
670, 0.000534
671, 0.000518
672, 0.000511
673, 0.000661
674, 0.000769
675, 0.000678
676, 0.000619
677, 0.000515
678, 0.000534
679, 0.000529
680, 0.000562
681, 0.000525
682, 0.000604
683, 0.000579
684, 0.000604
685, 0.000624
686, 0.000546
687, 0.000531
688, 0.000541
689, 0.000546
690, 0.000533
691, 0.000534
692, 0.000536
693, 0.000549
694, 0.000541
695, 0.000582
696, 0.000587
697, 0.000572
698, 0.00057
699, 0.000584
700, 0.000716
701, 0.000815
702, 0.000644
703, 0.000597
704, 0.000643
705, 0.000591
706, 0.000574
707, 0.000584
708, 0.000605
709, 0.000608
710, 0.000625
711, 0.000614
712, 0.000619
713, 0.000605
714, 0.000587
715, 0.000573
716, 0.000575
717, 0.000583
718, 0.00058
719, 0.000586
720, 0.000594
721, 0.000584
722, 0.000585
723, 0.000634
724, 0.000671
725, 0.000761
726, 0.000777
727, 0.000593
728, 0.000628
729, 0.000597
730, 0.000617
731, 0.000643
732, 0.000658
733, 0.000643
734, 0.000644
735, 0.000602
736, 0.000602
737, 0.000603
738, 0.000606
739, 0.000654
740, 0.000655
741, 0.000671
742, 0.000654
743, 0.000728
744, 0.000719
745, 0.000792
746, 0.000825
747, 0.000797
748, 0.000688
749, 0.000654
750, 0.000631
751, 0.000657
752, 0.000843
753, 0.000792
754, 0.000717
755, 0.000741
756, 0.000734
757, 0.000721
758, 0.000753
759, 0.000696
760, 0.000835
761, 0.000774
762, 0.000664
763, 0.000652
764, 0.000654
765, 0.000729
766, 0.00081
767, 0.000719
768, 0.00066
769, 0.000748
770, 0.000707
771, 0.000725
772, 0.000737
773, 0.000758
774, 0.000743
775, 0.000716
776, 0.00072
777, 0.000719
778, 0.000728
779, 0.000772
780, 0.000734
781, 0.000705
782, 0.000685
783, 0.000696
784, 0.000699
785, 0.000754
786, 0.000692
787, 0.000758
788, 0.000749
789, 0.000779
790, 0.000881
791, 0.000761
792, 0.000748
793, 0.000714
794, 0.000762
795, 0.000744
796, 0.000758
797, 0.00076
798, 0.000763
799, 0.000779
800, 0.00076
801, 0.000717
802, 0.000732
803, 0.00072
804, 0.000771
805, 0.000782
806, 0.000733
807, 0.000738
808, 0.00076
809, 0.000821
810, 0.001014
811, 0.000949
812, 0.000875
813, 0.000955
814, 0.000853
815, 0.000809
816, 0.000794
817, 0.000796
818, 0.000814
819, 0.00083
820, 0.00076
821, 0.000768
822, 0.00077
823, 0.00081
824, 0.00083
825, 0.000888
826, 0.000855
827, 0.000853
828, 0.000959
829, 0.001046
830, 0.000801
831, 0.000797
832, 0.000888
833, 0.000906
834, 0.00089
835, 0.000876
836, 0.000862
837, 0.000784
838, 0.000787
839, 0.000805
840, 0.000787
841, 0.000789
842, 0.000793
843, 0.00081
844, 0.000829
845, 0.000967
846, 0.001042
847, 0.00092
848, 0.00081
849, 0.000804
850, 0.000805
851, 0.000809
852, 0.000954
853, 0.000953
854, 0.00103
855, 0.00094
856, 0.000893
857, 0.000881
858, 0.000893
859, 0.000854
860, 0.000882
861, 0.000884
862, 0.000903
863, 0.000946
864, 0.001003
865, 0.000888
866, 0.000834
867, 0.000833
868, 0.000839
869, 0.000908
870, 0.000928
871, 0.000953
872, 0.00097
873, 0.001
874, 0.000915
875, 0.000859
876, 0.000865
877, 0.000865
878, 0.000858
879, 0.000861
880, 0.000865
881, 0.00095
882, 0.000997
883, 0.000936
884, 0.000881
885, 0.000874
886, 0.000874
887, 0.000923
888, 0.000943
889, 0.001004
890, 0.000977
891, 0.000944
892, 0.000888
893, 0.000897
894, 0.000911
895, 0.000894
896, 0.000895
897, 0.000896
898, 0.001015
899, 0.00107
900, 0.000903
901, 0.000949
902, 0.000961
903, 0.00095
904, 0.001064
905, 0.001003
906, 0.001071
907, 0.001041
908, 0.001079
909, 0.000987
910, 0.000931
911, 0.000925
912, 0.000954
913, 0.000911
914, 0.001022
915, 0.001112
916, 0.000917
917, 0.000918
918, 0.000919
919, 0.00092
920, 0.001017
921, 0.001012
922, 0.001021
923, 0.00102
924, 0.000957
925, 0.001124
926, 0.000982
927, 0.000993
928, 0.000953
929, 0.000959
930, 0.00102
931, 0.001093
932, 0.00112
933, 0.001088
934, 0.000985
935, 0.000998
936, 0.001082
937, 0.001051
938, 0.001007
939, 0.001022
940, 0.001033
941, 0.001077
942, 0.001016
943, 0.000991
944, 0.000993
945, 0.001075
946, 0.001108
947, 0.001232
948, 0.001067
949, 0.001101
950, 0.001076
951, 0.001155
952, 0.001088
953, 0.001037
954, 0.00104
955, 0.001027
956, 0.00101
957, 0.001101
958, 0.001087
959, 0.001014
960, 0.001016
961, 0.001134
962, 0.001145
963, 0.001026
964, 0.001026
965, 0.001047
966, 0.00103
967, 0.00115
968, 0.001145
969, 0.001124
970, 0.001077
971, 0.001054
972, 0.001055
973, 0.001252
974, 0.001081
975, 0.001131
976, 0.001234
977, 0.001125
978, 0.001059
979, 0.001089
980, 0.001063
981, 0.001121
982, 0.001152
983, 0.0011
984, 0.00111
985, 0.001233
986, 0.001119
987, 0.00117
988, 0.001261
989, 0.001167
990, 0.001232
991, 0.001383
992, 0.001207
993, 0.001263
994, 0.001293
995, 0.001207
996, 0.001188
997, 0.001296
998, 0.001093
999, 0.001098
1000, 0.001109
1001, 0.001159
1002, 0.001155
1003, 0.001271
1004, 0.001285
1005, 0.001117
1006, 0.001121
1007, 0.001121
1008, 0.001324
1009, 0.001267
1010, 0.001134
1011, 0.001171
1012, 0.00117
1013, 0.001128
1014, 0.001152
1015, 0.001161
1016, 0.001134
1017, 0.001289
1018, 0.001268
1019, 0.001141
1020, 0.001143
1021, 0.001268
1022, 0.00138
1023, 0.001263
1024, 0.001257
1025, 0.001273
1026, 0.001254
1027, 0.001231
1028, 0.001178
1029, 0.001243
1030, 0.001334
1031, 0.001246
1032, 0.001169
1033, 0.001174
1034, 0.001173
1035, 0.001269
1036, 0.0013
1037, 0.001286
1038, 0.001208
1039, 0.001209
1040, 0.001306
1041, 0.001337
1042, 0.001238
1043, 0.001375
1044, 0.001373
1045, 0.001233
1046, 0.001217
1047, 0.001208
1048, 0.001348
1049, 0.001409
1050, 0.001353
1051, 0.001258
1052, 0.001229
1053, 0.001255
1054, 0.001226
1055, 0.001376
1056, 0.001426
1057, 0.001431
1058, 0.001312
1059, 0.00137
1060, 0.001417
1061, 0.00136
1062, 0.001442
1063, 0.001369
1064, 0.0013
1065, 0.00122
1066, 0.001222
1067, 0.001514
1068, 0.001276
1069, 0.001229
1070, 0.001254
1071, 0.001339
1072, 0.001366
1073, 0.00138
1074, 0.001336
1075, 0.001385
1076, 0.001457
1077, 0.001338
1078, 0.001294
1079, 0.001452
1080, 0.001445
1081, 0.001289
1082, 0.001291
1083, 0.001431
1084, 0.001429
1085, 0.001423
1086, 0.001333
1087, 0.001295
1088, 0.001497
1089, 0.001366
1090, 0.001488
1091, 0.001669
1092, 0.001451
1093, 0.001405
1094, 0.001345
1095, 0.001452
1096, 0.001432
1097, 0.001345
1098, 0.001377
1099, 0.001345
1100, 0.001516
1101, 0.001352
1102, 0.001606
1103, 0.001392
1104, 0.001335
1105, 0.001337
1106, 0.001449
1107, 0.001467
1108, 0.001496
1109, 0.001357
1110, 0.001366
1111, 0.001365
1112, 0.001535
1113, 0.001414
1114, 0.001527
1115, 0.001464
1116, 0.001445
1117, 0.00149
1118, 0.001557
1119, 0.001574
1120, 0.001434
1121, 0.001499
1122, 0.001517
1123, 0.001547
1124, 0.001684
1125, 0.001539
1126, 0.001455
1127, 0.001391
1128, 0.001515
1129, 0.001523
1130, 0.001554
1131, 0.001489
1132, 0.001413
1133, 0.001413
1134, 0.001414
1135, 0.001615
1136, 0.001814
1137, 0.001591
1138, 0.00157
1139, 0.001547
1140, 0.001556
1141, 0.00158
1142, 0.00143
1143, 0.00154
1144, 0.001444
1145, 0.001594
1146, 0.001652
1147, 0.001594
1148, 0.001797
1149, 0.001789
1150, 0.001886
1151, 0.001763
1152, 0.001638
1153, 0.001565
1154, 0.001657
1155, 0.001803
1156, 0.001641
1157, 0.00153
1158, 0.001668
1159, 0.00161
1160, 0.001615
1161, 0.001572
1162, 0.001555
1163, 0.001538
1164, 0.00164
1165, 0.001729
1166, 0.001511
1167, 0.001519
1168, 0.001734
1169, 0.001739
1170, 0.001629
1171, 0.001686
1172, 0.001598
1173, 0.001544
1174, 0.001637
1175, 0.001754
1176, 0.00157
1177, 0.001627
1178, 0.001804
1179, 0.001862
1180, 0.001679
1181, 0.001679
1182, 0.00158
1183, 0.001575
1184, 0.001748
1185, 0.001559
1186, 0.001536
1187, 0.00157
1188, 0.00179
1189, 0.0017
1190, 0.001608
1191, 0.001557
1192, 0.001593
1193, 0.001601
1194, 0.001781
1195, 0.001826
1196, 0.001622
1197, 0.001715
1198, 0.001727
1199, 0.001753
1200, 0.001739
1201, 0.001631
1202, 0.00162
1203, 0.001771
1204, 0.001882
1205, 0.001739
1206, 0.001761
1207, 0.001875
1208, 0.001938
1209, 0.001667
1210, 0.001622
1211, 0.001599
1212, 0.001624
1213, 0.001876
1214, 0.001638
1215, 0.001654
1216, 0.001733
1217, 0.001786
1218, 0.00186
1219, 0.00172
1220, 0.001657
1221, 0.001658
1222, 0.001884
1223, 0.001738
1224, 0.001701
1225, 0.002018
1226, 0.00183
1227, 0.001735
1228, 0.001923
1229, 0.001701
1230, 0.001845
1231, 0.002132
1232, 0.001812
1233, 0.001725
1234, 0.001839
1235, 0.001849
1236, 0.001724
1237, 0.001747
1238, 0.001989
1239, 0.001846
1240, 0.001925
1241, 0.00171
1242, 0.001724
1243, 0.001827
1244, 0.002014
1245, 0.001837
1246, 0.001697
1247, 0.001867
1248, 0.001756
1249, 0.001944
1250, 0.001702
1251, 0.001755
1252, 0.001945
1253, 0.001994
1254, 0.001888
1255, 0.001854
1256, 0.001924
1257, 0.002178
1258, 0.001809
1259, 0.001727
1260, 0.00185
1261, 0.001914
1262, 0.001827
1263, 0.001797
1264, 0.001844
1265, 0.001776
1266, 0.002126
1267, 0.001808
1268, 0.001785
1269, 0.001963
1270, 0.001924
1271, 0.001806
1272, 0.001848
1273, 0.001787
1274, 0.001869
1275, 0.002057
1276, 0.001967
1277, 0.001944
1278, 0.002084
1279, 0.001974
1280, 0.001857
1281, 0.00187
1282, 0.001787
1283, 0.00204
1284, 0.002001
1285, 0.001844
1286, 0.001965
1287, 0.001982
1288, 0.001843
1289, 0.00186
1290, 0.001857
1291, 0.002032
1292, 0.001998
1293, 0.002052
1294, 0.00201
1295, 0.002024
1296, 0.001911
1297, 0.001878
1298, 0.001991
1299, 0.001967
1300, 0.002282
1301, 0.002027
1302, 0.002211
1303, 0.002124
1304, 0.001918
1305, 0.001866
1306, 0.001874
1307, 0.001971
1308, 0.002043
1309, 0.001866
1310, 0.001966
1311, 0.002126
1312, 0.001991
1313, 0.001923
1314, 0.001924
1315, 0.001923
1316, 0.002188
1317, 0.001912
1318, 0.001963
1319, 0.002119
1320, 0.002164
1321, 0.002082
1322, 0.002104
1323, 0.002093
1324, 0.002345
1325, 0.001978
1326, 0.002072
1327, 0.002104
1328, 0.002026
1329, 0.002005
1330, 0.001953
1331, 0.001994
1332, 0.002181
1333, 0.001941
1334, 0.002096
1335, 0.002134
1336, 0.002054
1337, 0.002056
1338, 0.001965
1339, 0.002104
1340, 0.00206
1341, 0.002152
1342, 0.002195
1343, 0.002289
1344, 0.002115
1345, 0.0021
1346, 0.002093
1347, 0.002325
1348, 0.001975
1349, 0.00203
1350, 0.00236
1351, 0.002153
1352, 0.002023
1353, 0.002208
1354, 0.00217
1355, 0.002214
1356, 0.002005
1357, 0.002215
1358, 0.002217
1359, 0.002077
1360, 0.002065
1361, 0.002101
1362, 0.00234
1363, 0.002202
1364, 0.002264
1365, 0.002291
1366, 0.002231
1367, 0.002174
1368, 0.002056
1369, 0.002186
1370, 0.002211
