filename, n, cpu_time_used
1.node, 1, 2e-06
2.node, 2, 2e-06
3.node, 3, 2e-06
4.node, 4, 1e-06
5.node, 5, 2e-06
6.node, 6, 1e-06
7.node, 7, 2e-06
8.node, 8, 2e-06
9.node, 9, 2e-06
10.node, 10, 3e-06
11.node, 11, 2e-06
12.node, 12, 3e-06
13.node, 13, 3e-06
14.node, 14, 2e-06
15.node, 15, 2e-06
16.node, 16, 2e-06
17.node, 17, 4e-06
18.node, 18, 2e-06
19.node, 19, 4e-06
20.node, 20, 4e-06
21.node, 21, 4e-06
22.node, 22, 5e-06
23.node, 23, 4e-06
24.node, 24, 5e-06
25.node, 25, 6e-06
26.node, 26, 5e-06
27.node, 27, 6e-06
28.node, 28, 7e-06
29.node, 29, 7e-06
30.node, 30, 6e-06
31.node, 31, 7e-06
32.node, 32, 8e-06
33.node, 33, 7e-06
34.node, 34, 9e-06
35.node, 35, 1e-05
36.node, 36, 1e-05
37.node, 37, 1e-05
38.node, 38, 2.3e-05
39.node, 39, 1.1e-05
40.node, 40, 1.2e-05
41.node, 41, 1.1e-05
42.node, 42, 2e-05
43.node, 43, 1.3e-05
44.node, 44, 1.3e-05
45.node, 45, 1.3e-05
46.node, 46, 1.4e-05
47.node, 47, 1.4e-05
48.node, 48, 1.4e-05
49.node, 49, 1.4e-05
50.node, 50, 1.5e-05
51.node, 51, 1.5e-05
52.node, 52, 1.6e-05
53.node, 53, 1.7e-05
54.node, 54, 1.6e-05
55.node, 55, 1.8e-05
56.node, 56, 1.8e-05
57.node, 57, 1.9e-05
58.node, 58, 2e-05
59.node, 59, 2e-05
60.node, 60, 2e-05
61.node, 61, 2.2e-05
62.node, 62, 3.1e-05
63.node, 63, 3.1e-05
64.node, 64, 3.2e-05
65.node, 65, 2.3e-05
66.node, 66, 2.4e-05
67.node, 67, 2.4e-05
68.node, 68, 2.3e-05
69.node, 69, 2.4e-05
70.node, 70, 2.4e-05
71.node, 71, 2.5e-05
72.node, 72, 2.5e-05
73.node, 73, 2.8e-05
74.node, 74, 2.9e-05
75.node, 75, 2.8e-05
76.node, 76, 3.1e-05
77.node, 77, 3.2e-05
78.node, 78, 3.3e-05
79.node, 79, 3.3e-05
80.node, 80, 3.3e-05
81.node, 81, 3.6e-05
82.node, 82, 3.4e-05
83.node, 83, 3.8e-05
84.node, 84, 3.8e-05
