filename, n, cpu_time_used
1.node,1,3.00E-06
2.node,2,2.00E-06
3.node,3,2.00E-06
4.node,4,1.00E-06
5.node,5,2.00E-06
6.node,6,2.00E-06
7.node,7,3.00E-06
8.node,8,3.00E-06
9.node,9,2.00E-06
10.node,10,3.00E-06
11.node,11,4.00E-06
12.node,12,2.00E-06
13.node,13,3.00E-06
14.node,14,4.00E-06
15.node,15,2.00E-06
16.node,16,3.00E-06
17.node,17,4.00E-06
18.node,18,9.00E-06
19.node,19,5.00E-06
20.node,20,4.00E-06
21.node,21,5.00E-06
22.node,22,4.00E-06
23.node,23,5.00E-06
24.node,24,6.00E-06
25.node,25,1.00E-05
26.node,26,6.00E-06
27.node,27,6.00E-06
28.node,28,6.00E-06
29.node,29,6.00E-06
30.node,30,8.00E-06
31.node,31,6.00E-06
32.node,32,7.00E-06
33.node,33,7.00E-06
34.node,34,6.00E-06
35.node,35,1.10E-05
36.node,36,8.00E-06
37.node,37,7.00E-06
38.node,38,6.00E-06
39.node,39,1.10E-05
40.node,40,8.00E-06
41.node,41,1.20E-05
42.node,42,9.00E-06
43.node,43,1.20E-05
44.node,44,9.00E-06
45.node,45,9.00E-06
46.node,46,1.10E-05
47.node,47,9.00E-06
48.node,48,8.00E-06
49.node,49,1.70E-05
50.node,50,1.20E-05
51.node,51,2.70E-05
52.node,52,1.10E-05
53.node,53,1.50E-05
54.node,54,1.20E-05
55.node,55,1.20E-05
56.node,56,1.60E-05
57.node,57,1.50E-05
58.node,58,1.50E-05
59.node,59,1.80E-05
60.node,60,2.20E-05
61.node,61,1.90E-05
62.node,62,4.10E-05
63.node,63,1.40E-05
64.node,64,2.00E-05
65.node,65,2.40E-05
66.node,66,4.10E-05
67.node,67,3.20E-05
68.node,68,3.40E-05
69.node,69,1.80E-05
70.node,70,2.20E-05
71.node,71,1.80E-05
72.node,72,2.90E-05
73.node,73,2.40E-05
74.node,74,3.50E-05
75.node,75,3.70E-05
76.node,76,2.20E-05
77.node,77,4.00E-05
78.node,78,2.20E-05
79.node,79,2.20E-05
80.node,80,2.40E-05
81.node,81,2.30E-05
82.node,82,1.80E-05
83.node,83,2.30E-05
84.node,84,1.70E-05
85.node,85,2.00E-05
86.node,86,1.50E-05
87.node,87,2.00E-05
88.node,88,1.60E-05
89.node,89,2.20E-05
90.node,90,2.20E-05
91.node,91,1.50E-05
92.node,92,1.90E-05
93.node,93,1.90E-05
94.node,94,2.10E-05
95.node,95,2.00E-05
96.node,96,1.60E-05
97.node,97,3.50E-05
98.node,98,2.30E-05
99.node,99,5.10E-05
100.node,100,1.80E-05
101.node,101,3.20E-05
102.node,102,3.20E-05
103.node,103,1.80E-05
104.node,104,2.20E-05
105.node,105,2.40E-05
106.node,106,2.10E-05
107.node,107,2.10E-05
108.node,108,4.50E-05
109.node,109,2.50E-05
110.node,110,1.90E-05
111.node,111,3.10E-05
112.node,112,2.70E-05
113.node,113,2.70E-05
114.node,114,3.00E-05
115.node,115,2.00E-05
116.node,116,2.60E-05
117.node,117,2.30E-05
118.node,118,2.30E-05
119.node,119,2.10E-05
120.node,120,2.30E-05
121.node,121,2.70E-05
122.node,122,2.60E-05
123.node,123,2.30E-05
124.node,124,2.50E-05
125.node,125,2.10E-05
126.node,126,2.40E-05
127.node,127,2.50E-05
128.node,128,2.40E-05
129.node,129,2.60E-05
130.node,130,4.20E-05
131.node,131,2.70E-05
132.node,132,2.50E-05
133.node,133,2.80E-05
134.node,134,2.50E-05
135.node,135,2.80E-05
136.node,136,2.60E-05
137.node,137,3.20E-05
138.node,138,2.60E-05
139.node,139,2.70E-05
140.node,140,2.40E-05
141.node,141,2.70E-05
142.node,142,2.80E-05
143.node,143,2.90E-05
144.node,144,3.30E-05
145.node,145,4.60E-05
146.node,146,2.80E-05
147.node,147,2.80E-05
148.node,148,3.30E-05
149.node,149,4.70E-05
150.node,150,3.40E-05
151.node,151,3.50E-05
152.node,152,3.50E-05
153.node,153,3.80E-05
154.node,154,3.50E-05
155.node,155,3.90E-05
156.node,156,3.40E-05
157.node,157,3.40E-05
158.node,158,3.80E-05
159.node,159,3.80E-05
160.node,160,3.60E-05
161.node,161,4.10E-05
162.node,162,3.70E-05
163.node,163,3.60E-05
164.node,164,3.70E-05
165.node,165,3.50E-05
166.node,166,3.50E-05
167.node,167,3.40E-05
